"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".remove_reason",".matched_county",".county_match"
"Intrepids Dispensary",0.5783742,37.4928886,"Level 2","Samburu","Samburu East","Wamba West","open","Medical Clinic","Private",2638,"CSV county does not match spatial county","Isiolo",FALSE
"Katee Dispensary",0.7775435,35.4798314,"Level 2","Elgeyo Marakwet","Marakwet West","Moiben/Kuserwo","open","Dispensary","Government/Public Entity",2825,"CSV county does not match spatial county","Uasin Gishu",FALSE
"Kiptagich Tegat Dispensary",-0.5999871,35.5769991,"Level 2","Nakuru","Kuresoi South","Kiptagich","open","Dispensary","Private",2918,"CSV county does not match spatial county","Narok",FALSE
"Lorogon Dispensary",1.9333333,35.3614434,"Level 2","Turkana","Turkana South","Kaputir","open","Dispensary","Government/Public Entity",3041,"CSV county does not match spatial county","West Pokot",FALSE
"NYS Dispensary (Kirimun)",0.7415786,36.82156,"Level 2","Samburu","Samburu Central","Lodokejek","open","Dispensary","Government/Public Entity",3239,"CSV county does not match spatial county","Laikipia",FALSE
"Sabor Dispensary",0.4971567,35.47932,"Level 2","Baringo","Marigat","Marigat","open","Dispensary","Government/Public Entity",3318,"CSV county does not match spatial county","Elgeyo Marakwet",FALSE
"Sochoi Dispensary",0.1914839,35.3480014,"Level 2","Nandi","Nandi Hills","Ol'lessos","open","Dispensary","Government/Public Entity",3385,"CSV county does not match spatial county","Uasin Gishu",FALSE
"South Horr health Centre",2.0917842,36.9200716,"Level 3","Samburu","Samburu North","Nyiro","open","Health Center","Government/Public Entity",3398,"CSV county does not match spatial county","Marsabit",FALSE
"Tugumoi Dispensary",0.1757056,35.6326345,"Level 2","Baringo","Koibatek","Lembus","open","Dispensary","Government/Public Entity",3479,"CSV county does not match spatial county","Elgeyo Marakwet",FALSE
"Tuiyobei Dispensary",0.1580175,36.3142396,"Level 2","Baringo","Marigat","Mochongoi","open","Dispensary","Government/Public Entity",3481,"CSV county does not match spatial county","Laikipia",FALSE
"A.C.K Butonge Dispensary",0.521055,35.3404517,"Level 2","Bungoma","Sirisia","Malakisi/South Kulisiru","open","Dispensary","Government/Public Entity",3538,"CSV county does not match spatial county","Uasin Gishu",FALSE
"Esitsaba Dispensary",0.0029184,34.6240993,"Level 2","Vihiga","Luanda","Emabungo","open","Dispensary","Government/Public Entity",3581,"CSV county does not match spatial county","Kisumu",FALSE
"Kabula Health Centre",0.7885112,35.5841032,"Level 3","Bungoma","Bumula","Kabula","open","Dispensary","Government/Public Entity",3602,"CSV county does not match spatial county","Elgeyo Marakwet",FALSE
"Kilingili Health Centre",0.124363,34.6810178,"Level 3","Kakamega","Ikolomani","Idakho South","open","Health Center","Government/Public Entity",3628,"CSV county does not match spatial county","Vihiga",FALSE
"Shiru Health Centre",0.1569019,34.9163635,"Level 3","Kakamega","Hamisi","Shiru","open","Health Center","Government/Public Entity",3752,"CSV county does not match spatial county","Nandi",FALSE
"Lukhoba Dispensary",0.5873011,34.8017737,"Level 2","Bungoma","Webuye East","Maraka","open","Dispensary","Government/Public Entity",3778,"CSV county does not match spatial county","Kakamega",FALSE
