"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Coptic Medical Clinic",-1.3085216,36.863238,"Level 2","Nairobi","Makadara","Viwandani","open","Medical Clinic","Faith Based",1572,"Nairobi",TRUE
"Deliverence Church Kasarani Medical Clinic(Zimmerman)",-1.2124189,36.895963,"Level 2","Nairobi","Roysambu","Zimmerman","open","Medical Center","Faith Based",1573,"Nairobi",TRUE
"Cotolengo Centre",-1.3396867,36.726765,"Level 2","Nairobi","Langata","Karen","open","Health Center","Faith Based",1574,"Nairobi",TRUE
"Dandora II Health Centre",-1.2477041,36.9035926,"Level 3","Nairobi","Embakasi North","Dandora Area III","open","Health Center","Government/Public Entity",1575,"Nairobi",TRUE
"Dandora I Health Centre",-1.2601918,36.8884855,"Level 3","Nairobi","Embakasi North","Dandora Area I","open","Health Center","Government/Public Entity",1576,"Nairobi",TRUE
"Delta Medical Clinic Dandora",-1.2439512,36.9108459,"Level 2","Nairobi","Embakasi North","Dandora Area III","open","Medical Clinic","Private",1577,"Nairobi",TRUE
"DIWOPA Health Centre",-1.2694439,36.9143226,"Level 3","Nairobi","Embakasi Central","Kayole Central","open","Health Center","Faith Based",1578,"Nairobi",TRUE
"Dog Unit Dispensary (O P Kenya Police)",-1.32135,36.7731342,"Level 2","Nairobi","Langata","Mugumo-ini","open","Dispensary","Government/Public Entity",1579,"Nairobi",TRUE
"Dr Montet Medical clinic",-1.2947243,36.8067787,"Level 2","Nairobi","Kibra","Woodley/Kenyatta Golf Course","open","Medical Clinic","Private",1580,"Nairobi",TRUE
"Dreams Center Dispensary",-1.3413121,36.7543929,"Level 2","Nairobi","Langata","Karen","open","Health Center","Faith Based",1581,"Nairobi",TRUE
"Eastleigh Health Centre",-1.2712345,36.8517437,"Level 3","Nairobi","Kamukunji","Airbase","open","Health Center","Government/Public Entity",1582,"Nairobi",TRUE
"Edna Maternity",-1.2846388,36.8547803,"Level 3","Nairobi","Kamukunji","Eastleigh South","open","Health Center","Private",1583,"Nairobi",TRUE
"Embakasi Health Centre",-1.3104101,36.914242,"Level 3","Nairobi","Embakasi East","Embakasi","open","Health Center","Government/Public Entity",1584,"Nairobi",TRUE
"Famlife Medicare Centre",-1.2845825,36.8642679,"Level 2","Nairobi","Makadara","Maringo/Hamza","open","Medical Center","Non-Governmental Organization",1585,"Nairobi",TRUE
"Family Care Medical Centre & Maternity",-1.3130235,36.8167624,"Level 3","Nairobi","Langata","Nairobi West","open","Medical Center","Private",1586,"Nairobi",TRUE
"Tirken Dispensary (West pokot)",1.4893563,35.2315769,"Level 2","West Pokot",NA,"Chepareria","open","Dispensary","Government/Public Entity",1587,"West Pokot",TRUE
"Gertrudes Othaya Road Dispensary",-1.2869544,36.7728427,"Level 2","Nairobi","Dagoretti North","Kilimani","open","Dispensary","Private",1588,"Nairobi",TRUE
"Getrude Donholm Clinic",-1.2952103,36.8877212,"Level 2","Nairobi","Embakasi East","Upper Savannah","open","Medical Center","Private",1589,"Nairobi",TRUE
"Hodan Medical Clinic And Eye Care Nursing Home. (Mandera)",3.9370331,41.859504,"Level 3","Mandera",NA,"Township","open","Nursing Home","Private",1590,"Mandera",TRUE
"Giovanna Dispensary",-1.2086123,36.8927311,"Level 2","Nairobi","Roysambu","Roysambu","open","Dispensary","Faith Based",1591,"Nairobi",TRUE
"Good Shepherd Dispensary",-1.2883276,36.687278,"Level 2","Nairobi","Dagoretti South","Mutu-ini","open","Dispensary","Private",1592,"Nairobi",TRUE
"GSU Dispensary - Kibera",-1.3058265,36.7900043,"Level 2","Nairobi","Kibra","Woodley/Kenyatta Golf Course","open","Dispensary","Government/Public Entity",1593,"Nairobi",TRUE
"GSU HQ Dispensary (Ruaraka)",-1.2462361,36.8626738,"Level 2","Nairobi","Ruaraka","Utalii","open","Dispensary","Government/Public Entity",1594,"Nairobi",TRUE
"Hakati Medical Clinic",-1.2732288,36.9168792,"Level 2","Nairobi","Embakasi Central","Kayole Central","open","Medical Clinic","Private",1595,"Nairobi",TRUE
