scenario,buffer_distance_m,admin_level,subcounty,total_dog_population,covered_dog_population,uncovered_dog_population,coverage_pct,pct_of_country_dog_population,pct_of_total_buffer_population,uncovered_rural_dog_population,uncovered_urban_dog_population,pct_uncovered_population_rural,pct_uncovered_population_urban,uncovered_rural_pixel_count,uncovered_urban_pixel_count,coverage_class
3km,3000,subcounty,Ainabkoi,18750.21875,18748.232421875,1.986328125,99.9894063735923,0.2906121893153096,0.3029876334139922,1.9857290983200073,0,99.96984251129241,0,48.81173324584961,0,≥70% coverage
3km,3000,subcounty,Ainamoi,24839.17578125,24839.17578125,0,100,0.3849857620768759,0.4014225403528692,0,0,NA,NA,0,0,≥70% coverage
3km,3000,subcounty,Aldai,24768.89453125,24768.89453125,0,100,0.3838964634290766,0.40028673463360415,0,0,NA,NA,2107.88671875,0,≥70% coverage
3km,3000,subcounty,Alego Usonga,37038.30078125,37037.609375,0.69140625,99.99813326681998,0.5740616588037407,0.59855976602624394,0.6916758418083191,0,100.03899180956479,0,3663.793212890625,0,≥70% coverage
3km,3000,subcounty,Awendo,18782.623046875,18782.623046875,0,100,0.29111442791762276,0.3035434156256646,0,0,NA,NA,0,0,≥70% coverage
3km,3000,subcounty,Bahati,31418.521484375,31401.69921875,16.822265625,99.946457488035,0.4869599355273819,0.507478588774373,16.823692321777344,0,100.00848100255428,0,3086.718505859375,0,≥70% coverage
3km,3000,subcounty,Balambala,6419.92919921875,1455.82666015625,4964.1025390625,22.676677810300642,0.09950335538534681,0.023527416584993698,4964.09423828125,0.008351629599928856,99.99983278384794,1.682404731612597e-4,550608.0625,0.01833391562104225,<50% coverage
3km,3000,subcounty,Banissa,11681.0380859375,7740.36865234375,3940.66943359375,66.26439016291009,0.18104599721695566,0.12509104468905125,3344.365234375,596.3043212890625,84.86794669617996,15.132056401525013,322927.125,600.3917236328125,50–69% coverage
3km,3000,subcounty,Baringo Central,12805.119140625,12771.97265625,33.146484375,99.74114661479531,0.19846828229139493,0.20640611243064566,33.14691925048828,0,100.00131198073183,0,1512.5098876953125,0,≥70% coverage
3km,3000,subcounty,Baringo North,14061.1220703125,13745.8212890625,315.30078125,97.7576413911113,0.21793524243994933,0.22214434769036204,315.3004150390625,0,99.99988385346333,0,37517.7421875,0,≥70% coverage
3km,3000,subcounty,Baringo South,14019.6904296875,13454.66015625,565.0302734375,95.96973787494612,0.21729308780967568,0.21743893223636618,564.4676513671875,0,99.90042620780483,0,58511.34765625,0,≥70% coverage
3km,3000,subcounty,Belgut,19826.3984375,19826.314453125,0.083984375,99.9995764012548,0.30729204458798687,0.32041037044457565,0.08319861441850662,0,99.06439670296604,0,10918.0673828125,0,≥70% coverage
3km,3000,subcounty,Bobasi,31702.140625,31702.140625,0,100,0.4913557871431802,0.5123339814647819,0,0,NA,NA,0,0,≥70% coverage
3km,3000,subcounty,Bomachoge Borabu,18069.80859375,18069.80859375,0,100,0.2800664198084773,0.2920237182293576,0,0,NA,NA,0,0,≥70% coverage
3km,3000,subcounty,Bomachoge Chache,16157.103515625,16157.103515625,0,100,0.2504211437890487,0.2611127516913152,0,0,NA,NA,0,0,≥70% coverage
