scenario,buffer_distance_m,admin_level,subcounty,total_dog_population,covered_dog_population,uncovered_dog_population,coverage_pct,pct_of_country_dog_population,pct_of_total_buffer_population,uncovered_rural_dog_population,uncovered_urban_dog_population,pct_uncovered_population_rural,pct_uncovered_population_urban,uncovered_rural_pixel_count,uncovered_urban_pixel_count,coverage_class
1km,1000,subcounty,Ainabkoi,18750.21875,11855.19921875,6895.01953125,63.226991518432285,0.2906121893153096,0.25229104765422217,4863.2158203125,2031.802978515625,70.53229941222293,29.467689965299908,30657.28515625,3876.4072265625,50–69% coverage
1km,1000,subcounty,Ainamoi,24839.17578125,20838.138671875,4001.037109375,83.89223078651746,0.3849857620768759,0.44345740123679056,394.6331787109375,3606.404052734375,9.863272144771058,90.13673090619571,2895.982421875,5376.01611328125,≥70% coverage
1km,1000,subcounty,Aldai,24768.89453125,18574.74609375,6194.1484375,74.99222894390756,0.3838964634290766,0.3952900381877742,1323.144775390625,4871.00341796875,21.361205478709113,78.6387905798189,14325.7314453125,9016.8017578125,≥70% coverage
1km,1000,subcounty,Alego Usonga,37038.30078125,25172.103515625,11866.197265625,67.96236054211197,0.5740616588037407,0.5356887092688748,1927.452392578125,9938.7470703125,16.243218863061813,83.756799653954,15366.9189453125,17872.166015625,50–69% coverage
1km,1000,subcounty,Awendo,18782.623046875,14738.6416015625,4043.9814453125,78.46955968173292,0.29111442791762276,0.31365371952394516,470.1131591796875,3573.8681640625,11.62500781809001,88.37498916334242,3882.104248046875,6025.96875,≥70% coverage
1km,1000,subcounty,Bahati,31418.521484375,28713.955078125,2704.56640625,91.39180878516187,0.4869599355273819,0.6110630176082572,492.4659118652344,2212.10205078125,18.20868257208223,81.791374974905,14428.23046875,3412.822265625,≥70% coverage
1km,1000,subcounty,Balambala,6419.92919921875,805.67138671875,5614.2578125,12.549536945310754,0.09950335538534681,0.017145530367707756,5200.279296875,413.978515625,92.62630022612628,7.3736997738737164,563728.625,954.0467529296875,<50% coverage
1km,1000,subcounty,Banissa,11681.0380859375,6885.47607421875,4795.56201171875,58.94575485125758,0.18104599721695566,0.1465301375632127,3891.530029296875,904.0321044921875,81.14857069488993,18.851431850595098,349587.28125,1983.854736328125,50–69% coverage
1km,1000,subcounty,Baringo Central,12805.119140625,9776.677734375,3028.44140625,76.34976002181745,0.19846828229139493,0.2080579349760812,2758.369873046875,270.07171630859375,91.0821608552254,8.917845190969468,41015.26953125,693.28753662109375,≥70% coverage
1km,1000,subcounty,Baringo North,14061.1220703125,8835.6396484375,5225.482421875,62.83737246753831,0.21793524243994933,0.1880316595670435,5004.599609375,220.8822479248047,95.77296803113647,4.227021164594178,144353.609375,679.55181884765625,50–69% coverage
1km,1000,subcounty,Baringo South,14019.6904296875,6932.1923828125,7087.498046875,49.44611592944438,0.21729308780967568,0.14752430950584983,6927.880859375,155.20196533203125,97.74790502312197,2.189799056106442,162005.375,437.3288269042969,<50% coverage
1km,1000,subcounty,Belgut,19826.3984375,15764.2158203125,4062.1826171875,79.51124290176568,0.30729204458798687,0.3354790123192255,477.19927978515625,3584.983154296875,11.747361572719022,88.25263391971728,16955.701171875,5646.80029296875,≥70% coverage
1km,1000,subcounty,Bobasi,31702.140625,31187.806640625,514.333984375,98.37760487388223,0.4913557871431802,0.6637091681222902,0,514.33489990234375,0,100.00017800249867,0.06832034885883331,535.7532958984375,≥70% coverage
1km,1000,subcounty,Bomachoge Borabu,18069.80859375,17743.779296875,326.029296875,98.19572357292282,0.2800664198084773,0.3776061950164258,0.30014288425445557,325.7292785644531,0.09206009617274692,99.9079781131872,0.4787024259567261,313.0728454589844,≥70% coverage
1km,1000,subcounty,Bomachoge Chache,16157.103515625,15962.892578125,194.2109375,98.79798419740156,0.2504211437890487,0.33970706167108994,0,194.21121215820312,0,100.00014142262359,0,198.8135223388672,≥70% coverage
1km,1000,subcounty,Bomet Central,21553.578125,19726.896484375,1826.681640625,91.52492625571885,0.33406183735775424,0.41980900440187807,91.42991638183594,1735.25244140625,5.005246363047321,94.99479289738373,305.972900390625,3004.256103515625,≥70% coverage
1km,1000,subcounty,Bomet East,21763.96875,18403.5,3360.46875,84.55948550284515,0.33732271025517935,0.39164574207754516,171.69064331054688,3188.7783203125,5.109127805772539,94.8908785511694,424.5536193847656,6221.7431640625,≥70% coverage
